"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1513","User can login successfully","staging-mobile-safari","2026-07-05","failed","2026-07-05","","auth\login.test.ts","",""
"","4913","User can login successfully","dev-firefox","2026-07-05","passed","2026-07-05","","auth\login.test.ts","",""
"","936","sanity","dev-mobile-safari","2026-07-05","passed","2026-07-05","","simple.test.ts","",""
"","2106","sanity","prod-firefox","2026-07-05","passed","2026-07-05","","simple.test.ts","",""
"","1199","sanity","dev-chromium","2026-07-05","passed","2026-07-05","","simple.test.ts","",""
"","394","sanity","staging-chromium","2026-07-05","passed","2026-07-05","","simple.test.ts","",""
"","2252","sanity","dev-chromium","2026-07-05","passed","2026-07-05","","simple.spec.ts","",""
"","3700","User can login successfully","dev-mobile-safari","2026-07-05","passed","2026-07-05","","auth\login.test.ts","",""
"","5559","User can login successfully","prod-chromium","2026-07-05","passed","2026-07-05","","auth\login.test.ts","",""
"","4180","User can login successfully","prod-mobile-safari","2026-07-05","passed","2026-07-05","","auth\login.test.ts","",""
"","1322","sanity","staging-mobile-chrome","2026-07-05","passed","2026-07-05","","simple.test.ts","",""
"","1795","sanity","dev-webkit","2026-07-05","passed","2026-07-05","","simple.test.ts","",""
"","3424","User can login successfully","staging-chromium","2026-07-05","failed","2026-07-05","","auth\login.test.ts","",""
"","6716","User can login successfully","prod-firefox","2026-07-05","passed","2026-07-05","","auth\login.test.ts","",""
"","1432","User can login successfully","staging-webkit","2026-07-05","failed","2026-07-05","","auth\login.test.ts","",""
"","7124","User can login successfully","dev-chromium","2026-07-05","passed","2026-07-05","","auth\login.test.ts","",""
"","738","sanity","prod-chromium","2026-07-05","passed","2026-07-05","","simple.test.ts","",""
"","669","sanity","staging-mobile-safari","2026-07-05","passed","2026-07-05","","simple.test.ts","",""
"","3418","sanity","staging-firefox","2026-07-05","passed","2026-07-05","","simple.test.ts","",""
"","6708","User can login successfully","prod-webkit","2026-07-05","passed","2026-07-05","","auth\login.test.ts","",""
"","496","sanity","dev-mobile-chrome","2026-07-05","passed","2026-07-05","","simple.test.ts","",""
"","2712","User can login successfully","dev-mobile-chrome","2026-07-05","passed","2026-07-05","","auth\login.test.ts","",""
"","6426","User can login successfully","dev-webkit","2026-07-05","passed","2026-07-05","","auth\login.test.ts","",""
"","5077","User can login successfully","dev-chromium","2026-07-05","passed","2026-07-05","","auth\login.spec.ts","",""
"","2482","sanity","dev-firefox","2026-07-05","passed","2026-07-05","","simple.test.ts","",""
"","856","sanity","prod-mobile-chrome","2026-07-05","passed","2026-07-05","","simple.test.ts","",""
"","2221","User can login successfully","staging-firefox","2026-07-05","failed","2026-07-05","","auth\login.test.ts","",""
"","1207","sanity","prod-webkit","2026-07-05","passed","2026-07-05","","simple.test.ts","",""
"","602","sanity","prod-mobile-safari","2026-07-05","passed","2026-07-05","","simple.test.ts","",""
"","2823","User can login successfully","prod-mobile-chrome","2026-07-05","passed","2026-07-05","","auth\login.test.ts","",""
"","678","sanity","staging-webkit","2026-07-05","passed","2026-07-05","","simple.test.ts","",""
"","1682","User can login successfully","staging-mobile-chrome","2026-07-05","failed","2026-07-05","","auth\login.test.ts","",""
