"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1775","User can login successfully","staging-mobile-chrome","2026-07-05","passed","2026-07-05","","auth/login.test.ts","",""
"","4837","User can login successfully","prod-firefox","2026-07-05","passed","2026-07-05","","auth/login.test.ts","",""
"","2538","User can login successfully","dev-mobile-chrome","2026-07-05","passed","2026-07-05","","auth/login.test.ts","",""
"","1388","User can login successfully","staging-chromium","2026-07-05","passed","2026-07-05","","auth/login.test.ts","",""
"","1174","sanity","prod-chromium","2026-07-05","passed","2026-07-05","","simple.test.ts","",""
"","650","sanity","prod-mobile-safari","2026-07-05","passed","2026-07-05","","simple.test.ts","",""
"","574","sanity","staging-webkit","2026-07-05","passed","2026-07-05","","simple.test.ts","",""
"","281","sanity","prod-mobile-chrome","2026-07-05","passed","2026-07-05","","simple.test.ts","",""
"","1831","User can login successfully","prod-chromium","2026-07-05","passed","2026-07-05","","auth/login.test.ts","",""
"","1944","User can login successfully","dev-chromium","2026-07-05","passed","2026-07-05","","auth/login.test.ts","",""
"","2384","User can login successfully","prod-webkit","2026-07-05","passed","2026-07-05","","auth/login.test.ts","",""
"","356","sanity","dev-mobile-chrome","2026-07-05","passed","2026-07-05","","simple.test.ts","",""
"","2252","sanity","dev-chromium","2026-07-04","passed","2026-07-04","","simple.spec.ts","",""
"","1387","sanity","dev-firefox","2026-07-05","passed","2026-07-05","","simple.test.ts","",""
"","1412","sanity","staging-firefox","2026-07-05","passed","2026-07-05","","simple.test.ts","",""
"","355","sanity","staging-mobile-chrome","2026-07-05","passed","2026-07-05","","simple.test.ts","",""
"","3015","User can login successfully","staging-firefox","2026-07-05","passed","2026-07-05","","auth/login.test.ts","",""
"","202","sanity","staging-chromium","2026-07-05","passed","2026-07-05","","simple.test.ts","",""
"","4383","User can login successfully","dev-mobile-safari","2026-07-05","passed","2026-07-05","","auth/login.test.ts","",""
"","2937","User can login successfully","staging-mobile-safari","2026-07-05","passed","2026-07-05","","auth/login.test.ts","",""
"","6465","User can login successfully","dev-webkit","2026-07-05","passed","2026-07-05","","auth/login.test.ts","",""
"","2865","User can login successfully","dev-firefox","2026-07-05","passed","2026-07-05","","auth/login.test.ts","",""
"","2414","User can login successfully","staging-webkit","2026-07-05","passed","2026-07-05","","auth/login.test.ts","",""
"","1862","User can login successfully","prod-mobile-chrome","2026-07-05","passed","2026-07-05","","auth/login.test.ts","",""
"","664","sanity","staging-mobile-safari","2026-07-05","passed","2026-07-05","","simple.test.ts","",""
"","2203","User can login successfully","prod-mobile-safari","2026-07-05","passed","2026-07-05","","auth/login.test.ts","",""
"","3835","sanity","dev-webkit","2026-07-05","passed","2026-07-05","","simple.test.ts","",""
"","556","sanity","dev-mobile-safari","2026-07-05","passed","2026-07-05","","simple.test.ts","",""
"","374","sanity","prod-firefox","2026-07-05","passed","2026-07-05","","simple.test.ts","",""
"","5077","User can login successfully","dev-chromium","2026-07-04","passed","2026-07-04","","auth\login.spec.ts","",""
"","291","sanity","dev-chromium","2026-07-05","passed","2026-07-05","","simple.test.ts","",""
"","533","sanity","prod-webkit","2026-07-05","passed","2026-07-05","","simple.test.ts","",""
